Season,No. overall,No. in season,Title,Original air date,Losing Joker(s),U.S. viewers (millions)
5,106,5,"""Bidder Loser""","March 10, 2016",Q,0.65[100]
5,107,6,"""The Good, The Bad, and the Punished""","March 24, 2016",Q,0.88[101]
5,108,7,"""Putting the P in Pool""","March 31, 2016",Joe,0.85[102]
5,109,8,"""Statue of Limitations""","April 7, 2016",Sal,0.79[103]
5,110,9,"""Brother of the Sisterhood""","April 14, 2016",Q,0.83[104]
5,111,10,"""Dark Side of the Moon""","April 21, 2016",Murr,0.85[105]
5,112,11,"""Whose Phone Is Ringing?""","April 28, 2016",Sal,0.68[106]
5,113,12,"""Centaur of Attention""","May 5, 2016",Murr,0.75[107]
5,114,13,"""Browbeaten""","May 12, 2016",Murr,0.84[108]
5,115,14,"""The Coward""","July 21, 2016",Sal,0.95[109]
5,116,15,"""Virtual Insanity""","July 28, 2016",Sal,1.03[110]
5,117,16,"""Laundry Day""","August 4, 2016",Joe,1.02[111]
5,118,17,"""Water Torture""","August 11, 2016",Sal,0.78[112]
5,119,18,"""Hitting the Wrong Note""","August 18, 2016",Joe,0.83[113]
5,120,19,"""Heckle and Hide""","August 25, 2016",Q,0.91[114]
5,121,20,"""The Chairman""","September 15, 2016",Q,0.73[115]
5,122,21,"""Wrapper's Delight""","September 22, 2016",Joe,0.69[116]
5,123,22,"""Ash Clown""","October 6, 2016",Murr,0.80[117]
5,124,23,"""Spider Man""","October 13, 2016",Q,0.61[118]
5,125,24,"""Stage Fright""","October 20, 2016",Q,0.62[119]
5,126,25,"""Training Day""","October 27, 2016","Joe, Sal, and Murr",0.82[120]
5,127,26,"""Nitro Circus Spectacular""","November 3, 2016","Murr, then Sal",1.23[121]
6,128,1,"""Swim Shady""","February 9, 2017",Sal,0.97[122]
6,129,2,"""Lady and the Tramp""","February 16, 2017",Murr,0.83[123]
6,130,3,"""The Parent Trap""","February 23, 2017",Joe,0.76[124]
6,131,4,"""Catastrophe""","March 2, 2017",Sal,0.82[125]
6,132,5,"""Vampire Weakened""","March 9, 2017",Murr,0.85[126]
6,133,6,"""Footloose""","March 23, 2017",Sal,0.84[127]
6,134,7,"""X Man""","March 30, 2017",Q,0.75[128]
6,135,8,"""Medium, Well Done""","April 6, 2017",Sal,1.04[129]
6,136,9,"""Drum and Drummer""","April 13, 2017",Q and Joe,0.77[130]
6,137,10,"""The Butt of the Joker""","April 20, 2017",Murr,0.88[131]
6,138,11,"""Stuffed Turkey""","April 27, 2017",Q,0.78[132]
6,139,12,"""Crickets""","May 4, 2017",Sal,0.71[133]
6,140,13,"""Universal Appeal""","May 11, 2017",Q,0.94[134]
6,141,14,"""Paradise Lost""","July 13, 2017",Murr,1.17[135]
6,142,15,"""Mime and Punishment""","July 20, 2017",Q,0.94[136]
6,143,16,"""Three Men and Your Baby""","July 27, 2017","Sal, Q, and Murr",0.83[137]
6,144,17,"""The Q-Pay""","August 3, 2017",Murr,1.02[138]
6,145,18,"""Rubbed the Wrong Way""","August 10, 2017",Joe,0.96[139]
6,146,19,"""Flatfoot the Pirate""","August 17, 2017",Sal,0.91[140]
6,147,20,"""Remember the Pact""","August 24, 2017",Murr,0.96[141]
6,148,21,"""Silence of the Lame""","August 31, 2017",Sal,0.92[142]
6,149,22,"""The Walking Dread""","September 14, 2017",Sal,0.83[143]
6,150,23,"""Take Me Out at The Ball Game""","September 28, 2017",Joe,1.00[144]
6,151,24,"""The Party Crasher""","October 5, 2017",Murr,0.74[145]
6,152,25,"""Dover and Out""","October 12, 2017",Q,0.77[146]
6,153,26,"""G.I. Jokers""","November 2, 2017","Murr, then Q",0.87[147]
7,154,1,"""The Marathon Man""","February 1, 2018",Murr,0.89[148]
7,155,2,"""Guilty as Charged""","February 8, 2018",Q,0.65[149]
7,156,3,"""No Good Deed""","February 15, 2018",Sal and Joe,0.63[150]
7,157,4,"""Stripteased""","March 1, 2018",Murr,0.68[151]
7,158,5,"""Indecent Proposal""","March 22, 2018",Sal,0.69[152]
7,159,6,"""Turning the Tables""","March 29, 2018",Joe,0.66[153]
7,160,7,"""Lords of the Ring""","April 12, 2018",Q and Sal,0.65[154]
7,161,8,"""No Child Left Behind""","April 26, 2018",Q,0.55[155]
7,162,9,"""Pulling the Rug""","May 10, 2018",Murr,0.65[156]
7,163,10,"""Speech Impediment""","August 2, 2018",Murr,0.83[157]
7,164,11,"""Card Against Humanity""","August 9, 2018",Sal,0.76[158]
7,165,12,"""Bull Shiatsu""","August 16, 2018",Joe,0.59[159]
7,166,13,"""The Running Of The Bullies""","August 23, 2018",Sal,0.75[160]
7,167,14,"""The Needy and the Greedy""","August 30, 2018",Q,0.76[161]
7,168,15,"""Washed Up""","September 13, 2018",Joe,0.64[162]
7,169,16,"""To Hatch A Predator""","September 20, 2018",Q,0.51[163]
7,170,17,"""Like A Boss""","September 27, 2018",Murr,0.54[164]
7,171,18,"""Chick Magnet""","October 4, 2018",Sal,0.65[165]
7,172,19,"""Dropping Knowledge""","October 11, 2018",Murr,0.52[166]
7,173,20,"""Hump Day""","October 18, 2018",Q,0.48[167]
7,174,21,"""Out of Left Field""","October 25, 2018",Joe,0.45[168]
7,175,22,"""Autograph Corrector""","November 1, 2018",Q,0.50[169]
7,176,23,"""The Bogey Man""","November 8, 2018",Sal,0.54[170]
7,177,24,"""Hell On Wheels""","November 15, 2018",Murr,0.56[171]
7,178,25,"""Pantsing With the Stars""","November 29, 2018",Sal,0.50[172]
7,179,26,"""Staten Island Holiday Spectacular""","December 6, 2018",Sal,0.57[173]
8,180,1,"""Crash Test Dummies""","March 28, 2019",Sal and Murr,0.58[174]
8,181,2,"""The Closer""","April 4, 2019",Murr,0.50[175]
8,182,3,"""Tipping Point""","April 11, 2019",Sal,0.56[176]
8,183,4,"""Full Mental Jacket""","April 18, 2019",Joe,0.54[177]
8,184,5,"""Blue Man Dupe""","April 25, 2019",Q,0.49[178]
8,185,6,"""The Dumbbell""","May 2, 2019",Murr,0.51[179]
8,186,7,"""The Eggman""","May 9, 2019",Joe,0.56[180]
8,187,8,"""Cake Loss""","May 23, 2019",Q,0.59[181]
8,188,9,"""The Antisocial Network""","May 30, 2019",Q,0.56[182]
8,189,10,"""Off the Reservation""","August 8, 2019",Sal,0.51[183]
8,190,11,"""Fraudway""","August 15, 2019",Murr,0.47[184]
8,191,12,"""The Show Stopper""","August 22, 2019",Q,0.55[185]
8,192,13,"""Sucks for You""","August 29, 2019",Murr,0.48[186]
8,193,14,"""Well...""","September 12, 2019",Sal,0.54[187]
8,194,15,"""The Prize Fighter""","September 19, 2019",Murr,0.36[188]
8,195,16,"""Sun-Fan Lotion""","September 26, 2019",Joe,0.36[189]
8,196,17,"""Urine Trouble""","October 3, 2019",Sal,0.46[190]
8,197,18,"""Irritable Vowel Syndrome""","October 10, 2019",Q,0.38[191]
8,198,19,"""Bad Carma""","October 17, 2019",Q,0.44[192]
8,199,20,"""Fast Feud""","October 24, 2019",Sal,0.39[193]
8,200,21,"""Toll Booth Corrector""","January 30, 2020",Murr,0.57[194]
8,201,22,"""The Paternity Test""","February 6, 2020",Joe,0.63[195]
8,202,23,"""Hollywood""","February 13, 2020",Murr,0.71[196]
8,203,24,"""The Shame of Water""","February 20, 2020",Sal,0.54[197]
8,204,25,"""Rock Bottom""","February 27, 2020",Joe,0.50[198]
8,205,26,"""It's Electric""","March 5, 2020",Murr,0.54[199]
9,206,1,"""You Dirty Dog""","February 4, 2021",Joe,0.60[200]
9,207,2,"""The Bachelor Party""","February 11, 2021",Murr,0.47[201]
9,208,3,"""Drive, Drive, Drive""","February 18, 2021",Q,0.47[202]
9,209,4,"""Poetry Slammed""","February 25, 2021",Sal,0.52[203]
9,210,5,"""Bleach for America""","March 4, 2021",Murr,0.57[204]
9,211,6,"""Smashing Success""","March 11, 2021",Sal,0.56[205]
9,212,7,"""Pity in Pink""","March 25, 2021",Murr,0.48[206]
9,213,8,"""Twists and Turns""","April 1, 2021",clip show,0.44[207]
9,214,9,"""Highlights from the High Seas""","April 8, 2021",clip show,0.31[208]
9,215,10,"""Space Oddity""","April 15, 2021",Murr,0.48[209]
9,216,11,"""OK Zoomer""","April 22, 2021",Joe,0.54[210]
9,217,12,"""The Prince and Me""","April 29, 2021",Prince Herb (Sal),0.34[211]
9,218,13,"""Breaking Wind Beneath My Wings""","July 8, 2021",Joe,0.41[212]
9,219,14,"""Prince + Charming""","July 15, 2021",Murr,TBA
9,220,15,"""I’m Having The Best Time""","July 22, 2021",Murr,0.46[213]
9,221,16,"""Documentary No!""","July 29, 2021",Q and Prince Herb (Sal),TBA
9,222,17,"""Food, Air, Toilet""","August 5, 2021",Prince Herb (Sal),TBA
9,223,18,"""A Tasteful Episode""","August 12, 2021",Joe,0.43[214]
9,224,19,"""Moist Richard""","August 19, 2021",Q,0.42[215]
